# Git Commit History - Quant Trading System Development
# Period: 2025-08-17 to 2025-12-03
# Total Commits: 691
# Format: TIMESTAMP|HASH|MESSAGE|SOURCE_REPO

2025-09-02 01:40:12 +0900|19c416e|0901-3|early_quant_repo
2025-09-02 01:41:31 +0900|31f061a|0901-3|early_quant_repo
2025-09-02 01:46:40 +0900|21d0114|fix(common): remove redundant try in ui_bridge|early_quant_repo
2025-09-02 08:43:47 +0900|be4a4a8|feat(signals): notify via webhooks and use full universe|early_quant_repo
2025-09-02 20:44:38 +0900|9a3de0b|feat(common): implement webhook notifier|early_quant_repo
2025-09-02 21:38:48 +0900|865233f|docs: add contribution guidelines|early_quant_repo
2025-09-02 21:40:42 +0900|9a680a5|chore: integrate daily scheduler and data updates|early_quant_repo
2025-09-02 21:49:57 +0900|15e075e|feat(common): merge signals by priority and score|early_quant_repo
2025-09-03 01:01:37 +0900|0743dc5|fix(common): guard Notifier when webhook is unset|early_quant_repo
2025-09-03 07:48:52 +0900|71fcd80|test: cover system1-7 backtest placeholders|early_quant_repo
2025-09-03 14:34:49 +0900|847b0bd|test: ensure integrated app main runs|early_quant_repo
2025-09-03 15:13:11 +0900|a3399c2|refactor: consolidate modules and organize scripts|early_quant_repo
2025-09-03 15:51:34 +0900|94ac646|0903|early_quant_repo
2025-09-03 16:58:24 +0900|3e28c87|0903-2|early_quant_repo
2025-09-03 18:31:43 +0900|4f4c142|0903-3|early_quant_repo
2025-09-03 19:40:06 +0900|fbfeeba|0903-4|early_quant_repo
2025-09-03 19:55:17 +0900|2f160cb|0903-4|early_quant_repo
2025-09-03 20:34:28 +0900|c0d3336|0903-5|early_quant_repo
2025-09-03 20:42:36 +0900|212dd78|0903-6|early_quant_repo
2025-09-03 22:15:36 +0900|5eff3fe|add test image for GitHub Pages|early_quant_repo
2025-09-03 22:16:25 +0900|1eda1b3|0903-6_codex|early_quant_repo
2025-09-03 22:16:36 +0900|ca7a241|0903-7|early_quant_repo
2025-09-03 22:45:17 +0900|d9302c7|add image for GitHub Pages test|early_quant_repo
2025-09-03 22:55:21 +0900|dd3efe0|0903-7|early_quant_repo
2025-09-03 23:15:58 +0900|c1bd465|0903-8|early_quant_repo
2025-09-03 23:51:11 +0900|ee785cb|fix(common): group trade logs in expander|early_quant_repo
2025-09-04 00:15:30 +0900|cb364e1|fix(common): add fallback text for slack|early_quant_repo
2025-09-04 01:03:30 +0900|ad0260d|chore(app): restore today signals app|early_quant_repo
2025-09-04 01:14:34 +0900|ee7e336|docs: instruct codex to run tests after each task|early_quant_repo
2025-09-04 09:10:07 +0900|0185fb9|fix(app_system1): show negative max drawdown with percent|early_quant_repo
2025-09-04 09:27:18 +0900|b65b94f|chore: drop pytest cache from repo|early_quant_repo
2025-09-04 23:23:24 +0900|9bccd6d|chore(pytest): enable coverage reporting|early_quant_repo
2025-09-05 02:47:08 +0900|049a604|0904codex-1|early_quant_repo
2025-09-05 10:31:27 +0900|57644e1|fix(common): enforce UTF-8 stdout|early_quant_repo
2025-09-05 10:54:41 +0900|54bf127|feat(common): notify and summarize integrated backtest|early_quant_repo
2025-09-05 11:40:27 +0900|2f9d765|0905webhook|early_quant_repo
2025-09-05 11:40:43 +0900|89f82d2|0905-2|early_quant_repo
2025-09-05 11:42:06 +0900|3819d18|0905-3|early_quant_repo
2025-09-05 11:53:56 +0900|109d1b6|0905-4|early_quant_repo
2025-09-05 12:17:46 +0900|6885863|fix(app_system1): Slack/Discord通知を両対応化|early_quant_repo
2025-09-05 15:05:27 +0900|532cb9f|0905-6|early_quant_repo
2025-09-05 15:09:03 +0900|3495467|0905-7|early_quant_repo
2025-09-05 15:29:00 +0900|fe25444|refactor(app_system1): consolidate ui_components import|early_quant_repo
2025-09-05 15:44:28 +0900|9442123|0903-9|early_quant_repo
2025-09-05 15:47:15 +0900|ee1dda0|0905-10|early_quant_repo
2025-09-05 20:13:59 +0900|9350214|0905-1|early_quant_repo
2025-09-05 21:26:31 +0900|5bb611a|0950-2|early_quant_repo
2025-09-06 17:06:17 +0900|8ca57a7|Initial clean commit|quant_trading_system
2025-09-06 17:11:03 +0900|f106e68|Add .env to .gitignore|quant_trading_system
2025-09-06 17:13:22 +0900|ed2092a|0906-new_repo|quant_trading_system
2025-09-06 21:31:06 +0900|c2a0788|0906-2|quant_trading_system
2025-09-06 22:07:49 +0900|f48c236|0906-2|quant_trading_system
2025-09-06 22:34:02 +0900|e17ddf1|0906-3|quant_trading_system
2025-09-06 23:21:11 +0900|5e4252c|0906-4|quant_trading_system
2025-09-06 23:33:09 +0900|de2c0d6|.editorconfigを追加し、コーディングスタイルの一貫性を確保。VSCode設定を更新し、EOLとエンコーディングを指定。system4.pyでATR計算のフォーマットを改善し、system7_strategy.pyのprepare_dataメソッドの引数を型ヒント付きで修正。|quant_trading_system
2025-09-06 23:44:38 +0900|1eede4d|run_tab関数からインジケーター確認機能を削除し、generate_candidatesメソッドの引数処理を柔軟に改善。ATRの計算時にNone/NaNを考慮し、リスク計算の条件を追加。|quant_trading_system
2025-09-06 23:57:51 +0900|031f5de|型ヒントを改善し、辞書の値の型をAnyに変更。データフレームの年の抽出を堅牢にし、エラーハンドリングを強化。UIの数値入力を整形し、コードの可読性を向上。|quant_trading_system
2025-09-07 00:04:52 +0900|5c51a14|資産推移と実行日数のチェック機能を追加し、資金不足の可能性を判定するロジックを実装。資金が0以下または初期資金の10%未満になった日を表示し、CSVダウンロード機能を追加。|quant_trading_system
2025-09-07 00:43:03 +0900|bac3280|資産推移と実行日数のチェック機能を追加し、資金不足の可能性を判定するロジックを実装。資金が0以下または初期資金の10%未満になった日を表示する機能を追加。Alpacaからの残高取得機能を実装し、UIの数値入力を改善。ログ表示機能を強化し、選択理由を表示する機能を追加。|quant_trading_system
2025-09-07 01:19:32 +0900|6db9c26|Refactor input handling in app_today_signals.py and ui_tabs.py; enhance Alpaca client initialization in broker_alpaca.py; update universe_auto.txt with additional tickers; add alpaca_fetchtest.py for account and order retrieval.|quant_trading_system
2025-09-07 13:07:15 +0900|75a345c|fix(ui): resolve conflicts for today signals|quant_trading_system
2025-09-07 14:32:22 +0900|2b1cebf|fix(app): add unique keys for download buttons|quant_trading_system
2025-09-07 05:37:49 +0000|0bb9277|Initial plan|quant_trading_system
2025-09-07 05:42:03 +0000|7c07065|初期計画: branch0906をmainにマージするためのPR作成準備|quant_trading_system
2025-09-07 05:45:53 +0000|0841112|feat: branch0906をmainにマージ - 機能拡張とバグ修正の統合|quant_trading_system
2025-09-07 18:24:14 +0900|ff8ea13|refactor(app): improve code readability and type hints in Alpaca account handling|quant_trading_system
2025-09-07 19:20:40 +0900|c45e7ee|feat: 資産管理機能の改善とシステム別シグナル表示の追加|quant_trading_system
2025-09-07 19:27:22 +0900|9d55f80|feat: 注文状況ポーリング機能の説明を追加し、成功・警告メッセージの処理を改善|quant_trading_system
2025-09-07 19:49:37 +0900|805c7d5|feat: add UUID-safe JSON serialization helper|quant_trading_system
2025-09-07 19:56:16 +0900|4c2fbc5|feat(app): add Alpaca status dashboard|quant_trading_system
2025-09-07 20:18:12 +0900|d6fefa0|feat(ui): add cancel-all-orders button|quant_trading_system
2025-09-07 21:16:13 +0900|db2e687|fix(settings): ensure max line length is set to 88|quant_trading_system
2025-09-07 21:37:44 +0900|9740308|feat(slack): add test script for sending messages to Slack channels fix(settings): remove deprecated max_line_length setting and ensure proper formatting refactor(broker_alpaca): improve code readability and error handling chore(requirements): update alpaca-py dependency specification|quant_trading_system
2025-09-07 22:01:30 +0900|96d3aed|feat(notifications): aggregate trade alerts with amounts|quant_trading_system
2025-09-07 22:08:09 +0900|3eaf43f|feat(slack): add script for sending test messages to Slack channels|quant_trading_system
2025-09-07 22:17:11 +0900|c2b006e|feat(dashboard): enhance UI with modern CSS and Japanese labels for metrics|quant_trading_system
2025-09-07 22:36:45 +0900|080bd92|feat(linting): update flake8 configuration and add to pre-commit hooks|quant_trading_system
2025-09-07 23:03:15 +0900|7cd028e|chore(dev): add flake8 formatting hooks|quant_trading_system
2025-09-08 00:10:53 +0900|aea77cd|feat(dashboard): improve data loading and caching for signal computation|quant_trading_system
2025-09-08 08:50:26 +0900|0164e3b|fix(app): reset DataFrame index in today signals|quant_trading_system
2025-09-08 08:59:29 +0900|e61a6af|feat(cache): add two-tier cache management|quant_trading_system
2025-09-08 09:00:47 +0900|4962684|docs: classify indicator implementations|quant_trading_system
2025-09-08 09:30:44 +0900|9b79e4b|refactor(cache): use CacheManager in daily cache script|quant_trading_system
2025-09-08 21:10:59 +0900|7eb194a|refactor(scripts): use rolling cache|quant_trading_system
2025-09-08 22:12:07 +0900|dc4dbbb|docs: record system allocations|quant_trading_system
2025-09-08 22:28:16 +0900|ea02865|feat(strategies): define entry rules for systems2-7|quant_trading_system
2025-09-09 00:09:18 +0900|65989c7|Refactor and enhance trading systems and indicators|quant_trading_system
2025-09-09 00:17:05 +0900|183769b|feat(strategy): add StrategyProtocol for strategy methods and enhance base strategy class|quant_trading_system
2025-09-09 00:36:25 +0900|2bfcdaf|fix(cache): implement dummy function for _migrate_root_csv_to_full and improve path handling in cache_single|quant_trading_system
2025-09-09 00:46:21 +0900|91414ce|chore: revert coverage artifact|quant_trading_system
2025-09-09 08:36:18 +0900|9772a4c|chore: switch system4 volatility to HV50|quant_trading_system
2025-09-09 08:47:57 +0900|1a7982f|fix(cache): sync recent cache when file already up-to-date|quant_trading_system
2025-09-09 08:51:49 +0900|b418196|chore(system3): rename DropRate_3D to Drop3D and update docs|quant_trading_system
2025-09-09 12:24:57 +0900|8906e86|docs: note UI symbol data preload|quant_trading_system
2025-09-09 20:53:46 +0900|76e7cc9|feat(dashboard): add system allocation pie charts|quant_trading_system
2025-09-09 20:54:52 +0900|7464c86|feat(notifier): enrich slack signal message|quant_trading_system
2025-09-09 21:22:26 +0900|ef73c26|feat(tools): include daily charts in signal notifications|quant_trading_system
2025-09-09 22:12:59 +0900|aa321e7|fix(signals): avoid streamlit rerun in parallel|quant_trading_system
2025-09-10 00:08:06 +0000|0328550|Initial plan|quant_trading_system
2025-09-10 00:09:21 +0000|d80c3db|Initial plan|quant_trading_system
2025-09-10 00:09:42 +0000|5aebac0|Initial plan|quant_trading_system
2025-09-10 00:11:05 +0000|cb67c51|Initial plan|quant_trading_system
2025-09-10 00:11:54 +0000|eb55f7a|Initial plan|quant_trading_system
2025-09-10 00:12:15 +0000|b309821|Initial plan|quant_trading_system
2025-09-10 09:14:38 +0900|60d84c8|feat: add position age utilities|quant_trading_system
2025-09-10 00:15:29 +0000|9e27bb2|Initial plan: Define named constants for magic numbers in strategies|quant_trading_system
2025-09-10 00:15:42 +0000|d151f90|Initial plan to fix redundant getattr 'or 0' pattern|quant_trading_system
2025-09-10 00:18:10 +0000|5eac03d|fix: simplify list comprehension for better readability in app_today_signals.py|quant_trading_system
2025-09-10 00:18:23 +0000|7f49655|Initial plan|quant_trading_system
2025-09-10 00:19:29 +0000|fb831ec|Optimize SPY max_70 calculation by avoiding redundant computation|quant_trading_system
2025-09-10 00:21:13 +0000|949a8d6|Fix redundant 'or 0' patterns and create getattr redundancy fix tool|quant_trading_system
2025-09-10 00:21:50 +0000|b9826e1|Define named constants for magic numbers in strategy files|quant_trading_system
2025-09-10 00:22:16 +0000|7ee9c87|fix(tests): change zip() to use strict=True for DataFrame validation|quant_trading_system
2025-09-10 00:26:43 +0000|471d576|Replace magic numbers with named constants in strategy and core modules|quant_trading_system
2025-09-10 03:38:48 +0000|75a33ef|Initial plan|quant_trading_system
2025-09-10 12:54:01 +0900|48bd89a|fix(strategies): centralize magic numbers into shared constants|quant_trading_system
2025-09-10 12:56:00 +0900|5158e60|fix(scripts): simplify string concatenation in run_all_systems_today|quant_trading_system
2025-09-10 22:12:28 +0900|1e5e815|feat(common): scale batch size for small universes|quant_trading_system
2025-09-10 22:39:55 +0900|f729261|feat(core): cache incremental System2-7 indicators|quant_trading_system
2025-09-10 22:41:37 +0900|7b82cd0|feat(common): add async prefetch loader|quant_trading_system
2025-09-10 22:51:14 +0900|d62143d|feat(core): auto-tune batch size for systems2-7|quant_trading_system
2025-09-10 23:22:53 +0900|8bb97c5|Refactor indicator computation across systems to support parallel processing|quant_trading_system
2025-09-10 23:37:56 +0900|f4c6e14|refactor: remove obsolete cache_daily_data.py and today_signal.py files|quant_trading_system
2025-09-10 23:56:32 +0900|b963629|fix(cache): migrate legacy csv caches|quant_trading_system
2025-09-11 06:16:01 +0900|efcaec2|feat(cache): implement legacy CSV migration to CacheManager structure|quant_trading_system
2025-09-11 06:27:51 +0900|f51618f|fix(cache): refactor CSV migration logic in _migrate_root_csv_to_full function|quant_trading_system
2025-09-11 06:49:15 +0900|edc956b|feat(ui): enhance integrated UI with additional settings display and error handling|quant_trading_system
2025-09-11 07:53:44 +0900|1ee3174|feat(cache): implement dynamic cache directory resolution and update command-line arguments for SPY data fetching|quant_trading_system
2025-09-11 08:00:45 +0900|bae6199|feat(cache): add group resolution and support for saving SPY data to multiple directories|quant_trading_system
2025-09-11 08:15:33 +0900|e1d365b|refactor(scripts): deduplicate cache migration|quant_trading_system
2025-09-11 08:21:17 +0900|d3334cc|fix(cache): handle legacy Date column in cache|quant_trading_system
2025-09-11 08:49:32 +0900|4f7b5a0|feat(app): show positions and profit checks|quant_trading_system
2025-09-11 08:57:10 +0900|5098cb6|fix(dashboard): compute holding days for positions|quant_trading_system
2025-09-11 09:08:17 +0900|e3d1b17|refactor(core): simplify system7 for single symbol|quant_trading_system
2025-09-11 09:10:09 +0900|34c4a30|fix(common): handle 70-day high check failure|quant_trading_system
2025-09-11 09:22:45 +0900|c82e881|fix: make positions df resilient and preserve max_70|quant_trading_system
2025-09-12 22:48:04 +0900|71c636b|Checkpoint from VS Code for coding agent session|quant_trading_system
2025-09-12 13:48:10 +0000|040ff48|Initial plan|quant_trading_system
2025-09-12 22:54:27 +0900|68c1377|fix(system1): ensure groupby keys are explicitly converted to string|quant_trading_system
2025-09-12 23:05:17 +0900|769684d|refactor(system1): remove SPY data download functionality and streamline data retrieval|quant_trading_system
2025-09-13 07:06:11 +0900|8eb3a2d|refactor(system1): remove SPY data download utility and enhance data handling in core logic|quant_trading_system
2025-09-13 08:34:16 +0900|2e9c9d9|Refactor Alpaca order management and logging|quant_trading_system
2025-09-13 09:40:58 +0900|bb5b5e7|refactor(app_today_signals): improve checkbox handling and streamline test mode options|quant_trading_system
2025-09-13 09:55:39 +0900|f8ec95c|refactor(app_today_signals): enhance checkbox handling for test mode options refactor(common): improve logging and streamline order management in Alpaca integration|quant_trading_system
2025-09-13 10:25:11 +0900|44ca642|refactor(app_today_signals): improve checkbox handling and error management in unique checkbox implementation|quant_trading_system
2025-09-13 10:32:09 +0900|011afc9|refactor(app_today_signals): remove duplicate checkbox for test mode symbol limit|quant_trading_system
2025-09-13 10:35:40 +0900|2f3364e|refactor(app_today_signals): streamline test mode options for symbol selection|quant_trading_system
2025-09-13 11:10:39 +0900|c262c17|refactor: replace equity curve saving with price chart saving and add trade markers|quant_trading_system
2025-09-13 11:51:57 +0900|2647488|refactor(app_today_signals): add logging functionality and improve elapsed time display|quant_trading_system
2025-09-13 11:58:56 +0900|d7bfa34|refactor(utils_spy): simplify SPY cache loading and remove automatic update logic|quant_trading_system
2025-09-13 12:00:34 +0900|8842c63|refactor(utils): improve data caching logic and error handling in get_cached_data function refactor(update_from_bulk_last_day): enhance append_to_cache function with CacheManager integration and improve error handling|quant_trading_system
2025-09-13 12:06:42 +0900|e17141a|refactor(system3): optimize DataFrame copying by using shallow copy for performance|quant_trading_system
2025-09-13 12:07:27 +0900|36c80d1|refactor(utils): enhance get_cached_data function with improved date handling and error management|quant_trading_system
2025-09-13 14:34:48 +0900|a2b56b7|Refactor cache management and improve data handling|quant_trading_system
2025-09-13 15:05:54 +0900|2b1a7ba|refactor(progress): add progress bar and logging for signal computation steps|quant_trading_system
2025-09-13 15:59:33 +0900|747d173|refactor(logging): enhance logging functionality and add progress callback for signal processing|quant_trading_system
2025-09-13 17:17:21 +0900|e2baa85|refactor(indicators): add precomputation of shared indicators and filter UI logs|quant_trading_system
2025-09-13 17:29:09 +0900|3fd3107|refactor(logging): enhance logging function to control UI callback output|quant_trading_system
2025-09-13 17:41:19 +0900|8a21aab|refactor(indicators): add parallel processing option for shared indicators precomputation|quant_trading_system
2025-09-13 17:46:23 +0900|09527b2|refactor(logging): update logging to include timestamp in UI and log start of signal detection|quant_trading_system
2025-09-13 17:47:01 +0900|c89f812|refactor(logging): improve log messages for filtering and setup checks in signal processing|quant_trading_system
2025-09-13 18:40:39 +0900|a7c55d7|refactor(instructions): add comprehensive guidelines for tone, writing style, and output format|quant_trading_system
2025-09-13 19:35:30 +0900|3b55e3a|refactor(signals): enhance signal processing with automatic buying power updates and improved filtering logic|quant_trading_system
2025-09-13 19:37:44 +0900|f713f11|refactor(account): enhance Alpaca account information handling with additional state variables and update functionality|quant_trading_system
2025-09-13 19:43:33 +0900|bbed327|refactor(instructions): improve clarity and formatting in guidelines for tone and writing style|quant_trading_system
2025-09-13 20:25:22 +0900|880078a|refactor: optimize code structure and improve performance across multiple files|quant_trading_system
2025-09-13 20:55:06 +0900|4dd6412|refactor: enhance type annotations and improve function signatures in runner and strategy files|quant_trading_system
2025-09-13 21:03:56 +0900|9056021|refactor: improve logging clarity and system order consistency in signal processing|quant_trading_system
2025-09-13 21:32:09 +0900|5faa6af|refactor: add per-system progress tracking and stage updates for signal execution|quant_trading_system
2025-09-13 21:35:08 +0900|11c9446|refactor: enhance progress tracking and stage updates for system execution|quant_trading_system
2025-09-13 22:35:51 +0900|715c63e|refactor: enhance logging format for better context in system execution|quant_trading_system
2025-09-13 22:36:04 +0900|47c9503|docs: add initial Copilot instructions for AI coding agent usage|quant_trading_system
2025-09-14 07:41:45 +0900|4bdb40f|refactor: streamline progress tracking and enhance filtering logic in signal processing|quant_trading_system
2025-09-14 07:41:58 +0900|4e1b926|refactor: enhance signal processing and caching mechanisms, improve logging and progress tracking|quant_trading_system
2025-09-14 10:21:45 +0900|206fcfd|feat: Add daily metrics tracking and reporting functionality|quant_trading_system
2025-09-14 10:55:09 +0900|14d35d1|refactor: improve logging in notifier and batch processing, add keyword filtering for log messages|quant_trading_system
2025-09-14 11:06:35 +0900|b239b84|refactor: enhance Streamlit UI detection and error handling in utils_spy and i18n modules|quant_trading_system
2025-09-14 11:06:57 +0900|2c15525|feat: add coverage report file for improved test tracking|quant_trading_system
2025-09-14 11:10:48 +0900|de2783d|refactor: update requirements to include alpaca-trade-api and adjust network stack dependencies|quant_trading_system
2025-09-14 11:20:09 +0900|107949c|feat: add Streamlit context detection and improve logging visibility|quant_trading_system
2025-09-14 11:30:25 +0900|fe22e7c|feat: add Streamlit context check and display metrics for each system|quant_trading_system
2025-09-14 11:31:08 +0900|07160c5|fix: update yearly and monthly resampling frequency from 'Y' to 'YE' and 'M' to 'ME' for accurate data aggregation|quant_trading_system
2025-09-14 13:40:51 +0900|d82ae12|feat: add symbol-system mapping persistence and implement exit order submission functionality|quant_trading_system
2025-09-14 14:02:56 +0900|fc18c37|feat: implement positions tab and scheduled exit order functionality|quant_trading_system
2025-09-14 15:25:39 +0900|9d699da|feat: add account summary and planned exits management to positions tab|quant_trading_system
2025-09-14 16:37:38 +0900|08bafd2|feat: 日本語でのメトリクス表示を追加し、対象銘柄数の表示を改善|quant_trading_system
2025-09-14 17:14:49 +0900|392d520|feat: Windows環境での並列実行オプションを追加し、System2フィルター内訳の可視化を改善|quant_trading_system
2025-09-14 17:39:58 +0900|70a1d42|feat: 並列実行オプションの設定をサイドバーに移動し、プロセスプールの設定を改善|quant_trading_system
2025-09-14 17:47:07 +0900|6a76cfc|feat: ユニバース件数を引数として追加し、ログ出力を改善|quant_trading_system
2025-09-14 18:03:38 +0900|9869fcb|Implement code changes to enhance functionality and improve performance|quant_trading_system
2025-09-14 18:14:21 +0900|de834ae|（（復元した））feat: 不要なユニバース件数引数を削除し、ログ出力を簡素化|quant_trading_system
2025-09-14 18:34:27 +0900|f15459a|feat: 並列実行オプションのデフォルト設定を改善し、Windows環境でのプロセスプール設定を追加|quant_trading_system
2025-09-14 18:36:31 +0900|88e4495|feat: ログ出力を改善し、CLI 出力に経過時間を追加|quant_trading_system
2025-09-14 18:40:40 +0900|0ed1fdf|feat: コードの整理と可読性向上のためのインポート順序の修正|quant_trading_system
2025-09-14 18:59:56 +0900|8a2c891|feat: 並列実行の詳細設定を削除し、システムフィルター内訳を追加|quant_trading_system
2025-09-14 19:54:44 +0900|212eb3d|feat: Notifierのインポートを修正し、create_notifierを使用するように変更|quant_trading_system
2025-09-14 20:24:51 +0900|360b3fc|feat: フェーズ表示の改善とシステム別セットアップ内訳のログ出力を追加|quant_trading_system
2025-09-14 21:46:29 +0900|08a12b2|feat: システム別のメトリクス表示を追加し、CLI バナーを強化|quant_trading_system
2025-09-14 22:29:21 +0900|3aa113b|feat: メトリクス表示の改善とデータ抽出ヘルパーを追加|quant_trading_system
2025-09-14 22:51:46 +0900|f51bf2e|feat: メトリクス表示の改善とログ出力の重複防止を実装|quant_trading_system
2025-09-14 22:52:52 +0900|22fa815|feat: システムの進行状況表示を改善し、テキストを短縮|quant_trading_system
2025-09-14 22:54:08 +0900|0662c22|feat: カバレッジ情報を保存するための新しいファイルを追加|quant_trading_system
2025-09-14 23:07:12 +0900|db70efa|chore: restore coverage data|quant_trading_system
2025-09-15 05:48:13 +0900|fe85dfe|feat: OHLCV列名の大小文字を統一するヘルパー関数を追加し、データフレームの整形を改善|quant_trading_system
2025-09-15 05:58:56 +0900|1471013|fix: 重複インポートを削除し、キャッシュの読み込み処理を簡素化|quant_trading_system
2025-09-15 07:10:35 +0900|52698af|feat: 共有指標の前計算ログを表示対象に追加し、データ補完処理を改善|quant_trading_system
